source_csv,experiment,repetition,scheduler,scheduler_impl,cpus,total_tasks,admitted_tasks,delayed_tasks,rejected_tasks,completed_tasks,failed_tasks,deadline_completed_tasks,offered_deadline_tasks,deadline_successes,accepted_deadline_tasks,accepted_deadline_misses,deadline_misses,deadline_goodput,accepted_miss_rate,admission_rate,delay_rate,rejection_rate,completion_rate,deadline_miss_ratio,mean_response_ms,p50_response_ms,p95_response_ms,throughput_tasks_s,goodput_deadline_tasks_s,cpu_utilization,jain_class_service_fairness,workload_psi_some_avg10_final,workload_psi_some_total_us,workload_psi_some_stall_fraction,critical_offered_tasks,critical_completed_tasks,critical_rejected_tasks,critical_completion_rate,critical_rejection_rate,critical_offered_deadline_tasks,critical_deadline_successes,critical_deadline_goodput,critical_accepted_deadline_tasks,critical_accepted_deadline_misses,critical_accepted_miss_rate,critical_p50_response_ms,critical_p95_response_ms,interactive_offered_tasks,interactive_completed_tasks,interactive_rejected_tasks,interactive_completion_rate,interactive_rejection_rate,interactive_offered_deadline_tasks,interactive_deadline_successes,interactive_deadline_goodput,interactive_accepted_deadline_tasks,interactive_accepted_deadline_misses,interactive_accepted_miss_rate,interactive_p50_response_ms,interactive_p95_response_ms,batch_offered_tasks,batch_completed_tasks,batch_rejected_tasks,batch_completion_rate,batch_rejection_rate,batch_offered_deadline_tasks,batch_deadline_successes,batch_deadline_goodput,batch_accepted_deadline_tasks,batch_accepted_deadline_misses,batch_accepted_miss_rate,batch_p50_response_ms,batch_p95_response_ms,duration_s,scheduler_cpu_time_ms,scheduler_cpu_fraction,metadata_cache_hits,metadata_registry_reads,metadata_misses,local_dispatches,dispatch_attempts,tasks_dequeued,notify_cycles,average_tasks_per_notify_cycle,average_decision_wall_us,decision_wall_ns_per_dispatch,max_decision_wall_us,average_cycle_wall_us,max_cycle_wall_us,core_user_dispatches,core_kernel_dispatches,core_cancelled_dispatches,core_bounced_dispatches,core_failed_dispatches,core_congestion_events
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-00/tasks.csv,light,0,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,840.2939712985075,596.374569,2489.807260699999,2.5526318222163895,2.0954440331627078,0.5147511983410002,0.9998446510813068,0.79,257374,0.009805687501658524,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,382.93115,447.44749935000004,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,629.902414,706.6659817999999,12,12,0,1.0,0.0,0,0,,0,0,,2224.947584,2698.96967735,26.247420179,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-01/tasks.csv,light,1,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,814.9992245970149,548.189307,2420.8454429,2.293810947473543,1.8829791359857442,0.4514088605292578,0.9999787351814315,0.05,92896,0.0031803859966642125,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,362.378928,430.37034120000004,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,567.379907,683.0725892999999,12,12,0,1.0,0.0,0,0,,0,0,,2262.7687175,2586.6876795,29.209033148,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-02/tasks.csv,light,2,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,837.5362520447761,600.432107,2490.4057535999996,1.9137145227177508,1.5709596828280044,0.3829914535870139,0.9999327841329663,0.27,228562,0.006528394309573351,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,356.5566915,428.02464935000006,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,630.844113,762.1840030999999,12,12,0,1.0,0.0,0,0,,0,0,,2266.8850190000003,2581.30954215,35.010446545,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-03/tasks.csv,light,3,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,858.1271479253732,564.999818,2547.9024138,2.511049197100521,2.06130904239595,0.5169266288233271,0.9999703435393845,0.6,229045,0.00858422781119237,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,406.194507,499.14890740000004,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,579.458321,695.2091370999999,12,12,0,1.0,0.0,0,0,,0,0,,2473.8912259999997,2649.0919455,26.682073803,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-04/tasks.csv,light,4,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,824.3027810149254,559.848313,2413.8710309999997,1.9067657941314475,1.5652555026452182,0.38218665494818727,0.9999997810675902,0.0,10662,0.00030343189398551485,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,390.782307,432.5231922,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,567.20992,679.3748659,12,12,0,1.0,0.0,0,0,,0,0,,2198.9047495000004,2638.03646835,35.138033316,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-05/tasks.csv,light,5,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,824.9009142985075,542.307005,2439.4620926999996,2.0135679738070538,1.6529289337222084,0.404090950456248,0.9999944326948169,0.0,8493,0.00025524228062004937,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,367.3444865,431.215827,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,571.454458,681.4992158,12,12,0,1.0,0.0,0,0,,0,0,,2283.6314075,2617.8159422999997,33.274267803,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-06/tasks.csv,light,6,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,859.8680871641791,603.121589,2503.3905179,1.480092582107908,1.2150013733721632,0.2997984203492952,0.9999478553322053,0.0,80884,0.0017868031106151646,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,364.247361,438.1006528500001,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,618.086648,862.5657177999994,12,12,0,1.0,0.0,0,0,,0,0,,2391.901665,2642.4700693,45.267438544,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-07/tasks.csv,light,7,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,831.0071604179104,552.399271,2323.4845996999998,1.9207147186836608,1.5767061123522588,0.3873584178445872,0.9999974088177654,0.0,26308,0.0007541815346138769,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,395.5608865,441.20966905,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,589.226464,686.7700949,12,12,0,1.0,0.0,0,0,,0,0,,2313.483932,2585.4091412,34.882848217,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-08/tasks.csv,light,8,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,827.7112839552238,540.454165,2456.5426754,1.3569720264545082,1.1139322605223574,0.2724641321876475,0.9999892369969094,0.0,11390,0.00023068524449726638,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,388.707979,432.31202830000007,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,595.127308,694.1124834,12,12,0,1.0,0.0,0,0,,0,0,,2177.2664855,2674.02025195,49.374636097,,,,,,,,,,,,,,,,,,,,,
/home/amir/project/ai-fusion-scheduler-v0.2.0/ai-fusion-scheduler/results/paper-final-v1/light/eevdf/rep-09/tasks.csv,light,9,eevdf,eevdf,4,67,67,0,0,67,0,55,55,55,55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,831.2997105522388,577.48691,2384.265546999999,2.042641030082094,1.6767948754405246,0.4084303947070843,0.9999986003455111,0.1,165173,0.005035658908384324,20,20,0,1.0,0.0,20,20,1.0,20,0,0.0,393.1590155,446.7783868000001,35,35,0,1.0,0.0,35,35,1.0,35,0,0.0,601.578447,710.2820445999998,12,12,0,1.0,0.0,0,0,,0,0,,2207.2050325,2620.56848805,32.800672763,,,,,,,,,,,,,,,,,,,,,
